Subject,Section,Actual_Placements,Missing
APPLIED ECONOMICS,ABM 12-D,1,1
CHRISTIAN LIVING 4,ABM 12-B,1,1
CHRISTIAN LIVING 4,ABM 12-H,1,1
CHRISTIAN LIVING 4,ADT 12-C,1,1
CHRISTIAN LIVING 4,STEM 12-D,1,1
CHRISTIAN LIVING 4,STEM 12-P,1,1
CHRISTIAN LIVING 4,STEM 12-S,1,1
DISASTER READINESS AND RISK REDUCTION,STEM 12-I,1,1
DISCIPLINE AND IDEAS IN THE APPLIED SOCIAL SCIENCE,HUMSS 12-A,1,1
EARTH SCIENCE,STEM 11-G,1,1
EARTH SCIENCE,STEM 11-K,1,1
EMPOWERMENT TECHNOLOGIES 1 (COMPUTATIONAL THINKING),ABM 12-F,1,1
EMPOWERMENT TECHNOLOGIES 2 (DATA-VISUALIZATION),HUMSS 11-B,1,1
EMPOWERMENT TECHNOLOGIES 2 (DATA-VISUALIZATION),STEM 12-C,1,1
EMPOWERMENT TECHNOLOGIES 2 (DATA-VISUALIZATION),STEM 12-F,1,1
"FUNDAMENTALS OF ACCOUNTING,BUSINESS AND MANAGEMENT 2",ABM 12-E,1,1
"FUNDAMENTALS OF ACCOUNTING,BUSINESS AND MANAGEMENT 2",ABM 12-I,1,1
GENERAL BIOLOGY 2,STEM 12-R,1,1
GENERAL CHEMISTRY 1,STEM 12-L,1,1
GENERAL CHEMISTRY 1-LABORATORY,STEM 12-O,1,1
GENERAL CHEMISTRY 2,STEM 12-B,1,1
GENERAL CHEMISTRY 2,STEM 12-D,1,1
GENERAL CHEMISTRY 2-LABORATORY,STEM 12-C,1,1
GENERAL CHEMISTRY 2-LABORATORY,STEM 12-D,1,1
GENERAL CHEMISTRY 2-LABORATORY,STEM 12-F,1,1
GENERAL PHYSICS 1,STEM 12-C,1,1
GENERAL PHYSICS 1,STEM 12-D,1,1
GENERAL PHYSICS 1,STEM 12-F,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-F1,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-F2,1,1
MEDIA AND INFORMATION LITERACY,ABM 12-A,1,1
ORAL COMMUNICATION IN CONTEXT,ABM 11-D,1,1
ORAL COMMUNICATION IN CONTEXT,ABM 11-E,1,1
ORAL COMMUNICATION IN CONTEXT,ABM 11-J,1,1
ORGANIZATION AND MANAGEMENT,ABM 11-D,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-E,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-H,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-A,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-C,1,1
