subject,section,room,needs_lab,is_lab,score
GENERAL MATHEMATICS,ABM 11-F,G207,False,False,1.0
GENERAL MATHEMATICS,ABM 11-G,G208,False,False,1.0
GENERAL MATHEMATICS,ABM 11-H,G209,False,False,1.0
GENERAL MATHEMATICS,ABM 11-I,V502,False,False,1.0
GENERAL MATHEMATICS,ABM 11-J,V503,False,False,1.0
GENERAL MATHEMATICS,HUMSS 11-A,L204,False,False,1.0
GENERAL MATHEMATICS,HUMSS 11-B,L208,False,False,1.0
GENERAL MATHEMATICS,HUMSS 11-C,L209,False,False,1.0
GENERAL MATHEMATICS,HUMSS 11-D,L210,False,False,1.0
GENERAL MATHEMATICS,HUMSS 11-E,L211,False,False,1.0
GENERAL MATHEMATICS,STEM 11-A,Y404,False,False,1.0
GENERAL MATHEMATICS,STEM 11-E,Y503,False,False,1.0
GENERAL MATHEMATICS,STEM 11-F,Y504,False,False,1.0
GENERAL MATHEMATICS,STEM 11-G,Y505,False,False,1.0
GENERAL MATHEMATICS,STEM 11-I,L204,False,False,1.0
GENERAL MATHEMATICS,STEM 11-J,L208,False,False,1.0
GENERAL MATHEMATICS,STEM 11-N,L228,False,False,1.0
STATISTICS AND PROBABILITIES,STEM 12-K,G209,False,False,1.0
STATISTICS AND PROBABILITIES,STEM 12-L,G211,False,False,1.0
STATISTICS AND PROBABILITIES,STEM 12-M,Y303,False,False,1.0
STATISTICS AND PROBABILITIES,STEM 12-N,Y304,False,False,1.0
STATISTICS AND PROBABILITIES,STEM 12-O,Y306,False,False,1.0
STATISTICS AND PROBABILITIES,STEM 12-P,Y402,False,False,1.0
STATISTICS AND PROBABILITIES,STEM 12-Q,Y403,False,False,1.0
STATISTICS AND PROBABILITIES,STEM 12-R,V502,False,False,1.0
STATISTICS AND PROBABILITIES,STEM 12-S,V503,False,False,1.0
EARTH SCIENCE,STEM 11-A,Y404,False,False,1.0
EARTH SCIENCE,STEM 11-B,Y405,False,False,1.0
EARTH SCIENCE,STEM 11-C,Y501,False,False,1.0
EARTH SCIENCE,STEM 11-D,Y502,False,False,1.0
EARTH SCIENCE,STEM 11-E,Y503,False,False,1.0
EARTH SCIENCE,STEM 11-F,Y504,False,False,1.0
EARTH SCIENCE,STEM 11-G,Y505,False,False,1.0
EARTH SCIENCE,STEM 11-H,Y506,False,False,1.0
EARTH SCIENCE,STEM 11-I,L204,False,False,1.0
EARTH SCIENCE,STEM 11-J,L208,False,False,1.0
EARTH SCIENCE,STEM 11-K,L209,False,False,1.0
EARTH SCIENCE,STEM 11-L,L210,False,False,1.0
EARTH SCIENCE,STEM 11-M,L211,False,False,1.0
EARTH SCIENCE,STEM 11-N,L228,False,False,1.0
GENERAL PHYSICS 1,STEM 12-A,G203,False,False,1.0
GENERAL PHYSICS 1,STEM 12-B,G201,False,False,1.0
GENERAL PHYSICS 1,STEM 12-C,G206,False,False,1.0
GENERAL PHYSICS 1,STEM 12-D,G201,False,False,1.0
GENERAL PHYSICS 1,STEM 12-E,G203,False,False,1.0
GENERAL PHYSICS 1,STEM 12-F,G204,False,False,1.0
GENERAL PHYSICS 1,STEM 12-G,G205,False,False,1.0
GENERAL PHYSICS 1,STEM 12-H,G206,False,False,1.0
GENERAL PHYSICS 1,STEM 12-I,G207,False,False,1.0
GENERAL PHYSICS 1,STEM 12-J,G208,False,False,1.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-A1,J411,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-A2,J410,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-B1,J411,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-B2,J410,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-C1,J404,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-C2,J410,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-D1,J404,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-D2,G302 A&B,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-E1,J404,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-E2,G302A&B,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-F1,J404,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-F2,J410,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-G1,J404,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-G2,J411,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-H1,J404,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-H2,J411,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-I1,J411,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-I2,J410,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-J1,J404,True,False,0.0
GENERAL PHYSICS 1-LABORATORY,STEM 12-J2,J410,True,False,0.0
GENERAL MATHEMATICS,STEM 11-C,Y501,False,False,1.0
GENERAL MATHEMATICS,STEM 11-D,Y502,False,False,1.0
GENERAL MATHEMATICS,STEM 11-H,Y506,False,False,1.0
GENERAL MATHEMATICS,STEM 11-K,L209,False,False,1.0
GENERAL MATHEMATICS,STEM 11-L,L210,False,False,1.0
GENERAL MATHEMATICS,STEM 11-M,L211,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-A,G101,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-B,G102,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-C,G103,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-D,G201,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-E,G203,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-F,G204,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-G,G205,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-H,G206,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-I,G207,False,False,1.0
DISASTER READINESS AND RISK REDUCTION,STEM 12-J,G208,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTCWR-1,G101,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTCWR-1,G101,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTDNC-1,G102,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTDNC-1,G102,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTMUS-1,G103,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTMUS-1,G103,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTTAR-1,G206,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTTAR-1,G206,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTVMA-1,G207,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTVMA-1,G207,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTVMA-2,Y502,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTVMA-2,Y502,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTVMA-3,Y506,False,False,1.0
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),T-ADTVMA-3,Y506,False,False,1.0
CHRISTIAN LIVING 1,ABM 11-A,G201,False,False,1.0
CHRISTIAN LIVING 1,ABM 11-B,G203,False,False,1.0
CHRISTIAN LIVING 1,ABM 11-C,G204,False,False,1.0
